video_id,title,publishedAt,channelId,channelTitle,categoryId,trending_date,tags,view_count,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,description
"MgEf2zZTixU","DENNY CAGUR & TEH SHANTY NUMPANG MAKAN KE RUMAH TAPI KOK MALAH MARAH?! | NUMPANG MAKAN (EP 01)","2021-03-23T09:30:16Z","UCQSAJ5q8bPdoE8UsoEq6_Kg","SUNAH OFFICIAL","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"N2SbcKKdfi4","Nadin Amizah - seperti takdir kita yang tulis (Official Lyric Video)","2021-03-26T07:00:04Z","UCrorPql9QrqeSBNFNckfEcw","Nadin Amizah","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"DF_scSQac7Y","TXT (투모로우바이투게더) 'Poppin' Star' Dance Practice","2021-03-31T10:00:01Z","UCtiObj3CsEAdNU6ZPWDsddQ","TOMORROW X TOGETHER OFFICIAL","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"vs-gfy3Pv1c","Akhir Tak Bahagia - Misellia (Official Music Video)","2021-03-26T12:00:14Z","UCtbcFlBvOw9RmN6eSN89n6g","Misellia Ikwan","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"RVv6we9C4LE","Syahiba Saufa ft Ageng Music - Mawar Putih (Official Live Music)","2021-03-25T02:30:16Z","UC0hu5W5Ne6JrDDwH77nc_jg","Global Musik Era Digital","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"-5DfTuEUH-o","Ungu & Lesti - Bismillah Cinta (Behind The Scene)","2021-03-23T09:40:22Z","UCebb7o98FEA73WjNsCja5Xg","Trinity Optima Production","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"gToNcw2zYQI","PERTEMUAN TERAKHIR SPIKE DENGAN NALA DAN ANAK2 NYA","2021-03-30T01:49:36Z","UCvDJ5dtuPZJRV0wn5O9rsvQ","Ezron Tarigan","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"K2OPSfGdD9w","UN1TY - 'RESTU WAKTU' M/V","2021-03-31T12:00:20Z","UCVvMtyC5TSZT0Ykq04mc2ow","1IDMusic","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"yoC97kNss5g","[TREASURE MAP] EP.39 👶🏻 우리 아이돌이 달라졌어요 👶🏻 트레저 베이비시터","2021-03-26T03:00:22Z","UCx9hXYOCvUYwrprEqe4ZQHA","TREASURE (트레저)","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"fb3mOuCP1KA","Syifa Hadju & Angga Yunanda - Cinta Hebat (Full Length Music Video From Kisah Untuk Geri The Series)","2021-03-26T12:00:15Z","UCD1_105ug72aMvfZek44nhA","MD Music","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"4q_o0VJFAic","Rossa - The Heart You Hurt (MV Teaser 2)","2021-03-31T05:00:01Z","UClMQ1QriptEXMpMBw_8EeqQ","Rossa Official","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"BRic4CZRu28","😭INI ORANG KEJAM BANGET😭","2021-03-22T10:00:06Z","UCXkRFUruW9lg4hEBILMVkPQ","Korea Reomit","22","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"c3ML0OosA_Q","BUAT PARA FINALIS GAGAL MASTERCHEF YANG DENDAM CHEF ARNOLD | seloWoles #3","2021-03-26T11:11:17Z","UCUcBFGAfOzut1x4GSWa6Akg","Tim2one - ChandraLiow","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"PBPick_V7xY","SEMPROD : MARSHEL WIDIANTO BIKIN GADING UUS ANDHIKA BORIS NANGIS! MAIN KE KOSAN DAPET PROGRAM BARU?!","2021-03-31T12:00:09Z","UC6FjcBcH9NVHdfFSvNfHmuA","KUY Entertainment","24","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"V-yWp2nm-n8","Ten Years Later Ost. ภาพยนตร์ เพราะเราคู่กัน The Movie - WIN METAWIN","2021-03-30T10:00:09Z","UC_mceLIVkQun_Xcu1KBmfdw","GMMTV RECORDS","10","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"WdkZRJuQ-10","Riuh Klakson Kapal Penarik Rayakan Bebasnya Kapal Ever Given di Terusan Suez","2021-03-30T06:26:12Z","UC-AK5OD7V_DlveE55DzT-wg","Kompascom Reporter on Location","25","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"QQaeL3PWZ0U","SOPIR TRUK SAMPAI EMOSI !!! Detik Detik Kaca Truk Pecah di Batu Jomba (Bukan Sitinjau Lauik)","2021-03-27T10:22:01Z","UC8FOlkzX9ETjYcCuogMGZRw","Sitinjau Lauik Truck Video","2","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
"QuBlV0dixMo","Race Highlights | 2021 Bahrain Grand Prix","2021-03-28T18:50:02Z","UCB_qr75-ydFVKSF9Dmo6izg","FORMULA 1","17","trending_date","tags","view_count","likes","dislikes","comment_count","thumbnail_link","comments_disabled","ratings_disabled","description"
